Date,Open,High,Low,Close,Adj Close,Volume
2011-02-07,164.789993,168.100006,164.600006,167.130005,145.970917,5036700
2011-02-08,167.020004,168.720001,166.259995,168.550003,147.211105,4718700
2011-02-09,168.229996,168.229996,164.660004,166.009995,144.992645,5663900
2011-02-10,165.149994,166.649994,164.679993,165.339996,144.407501,4265800
2011-02-11,165.110001,167.690002,164.809998,166.660004,145.560364,4257100
2011-02-14,166.149994,167.800003,165.509995,167.520004,146.311478,3547200
2011-02-15,167.320007,168.440002,166.820007,167.910004,146.652115,4025900
2011-02-16,168.559998,169.899994,168,168.809998,147.438156,4606300
2011-02-17,168.539993,168.690002,167,167.160004,145.99707,4448100
2011-02-18,167.039993,168.300003,166.850006,168.039993,146.76564,3728100
2011-02-22,165.669998,165.759995,162.350006,162.940002,142.311371,5448200
2011-02-23,162.630005,164.800003,161.770004,163.089996,142.442337,4560400
2011-02-24,162.199997,163.899994,161.320007,163.440002,142.748047,4619300
2011-02-25,164.050003,165.880005,163.520004,165.119995,144.215317,4636200
2011-02-28,165.529999,166.25,163.110001,163.779999,143.348846,4235200
2011-03-01,163.550003,164.490005,161.300003,161.309998,141.186966,7015500
2011-03-02,161.580002,163.330002,161.110001,161.690002,141.519547,4658400
2011-03-03,162.710007,165.179993,162.690002,164.490005,143.970245,4581200
2011-03-04,162.880005,163,160.360001,161,140.915619,7810800
2011-03-07,161.410004,161.839996,158.5,159.149994,139.296463,7004100
2011-03-08,159.429993,161.779999,159.039993,161.300003,141.178177,4845900
2011-03-09,161.850006,163.720001,161.580002,162.350006,142.097244,4125200
2011-03-10,160.800003,161,159.990005,160.270004,140.276688,4563400
2011-03-11,159.850006,161.550003,159.839996,160.679993,140.635513,2883900
2011-03-14,159.940002,160.5,158.020004,158.429993,138.666199,4376100
2011-03-15,156.059998,158.050003,154.850006,157.25,137.633438,5243600
2011-03-16,157.229996,157.240005,153.259995,154.380005,135.12149,7223400
2011-03-17,155.929993,156.350006,153.949997,155.75,136.320557,5293900
2011-03-18,156.600006,160.25,155.240005,159.960007,140.005371,10170600
2011-03-21,161.619995,162.149994,159.899994,160.210007,140.224182,4663300
2011-03-22,160.639999,162.210007,160.119995,160.789993,140.731842,3538900
2011-03-23,160.020004,160.229996,158.240005,159.529999,139.628967,3603300
2011-03-24,160.350006,160.5,158.830002,159.910004,139.961639,2734400
2011-03-25,160.509995,160.509995,157.699997,157.970001,138.263672,4020700
2011-03-28,158.199997,159.289993,156.410004,156.470001,136.950745,3686800
2011-03-29,156.600006,158.699997,155.529999,158.470001,138.701248,3769400
2011-03-30,159.029999,160.429993,157.470001,159.070007,139.22641,2967200
2011-03-31,157.380005,160.070007,157.320007,158.600006,138.815079,3317700
2011-04-01,159.770004,162,159.660004,160.229996,140.241684,3787900
2011-04-04,160.759995,160.880005,158.600006,158.899994,139.077637,2816800
2011-04-05,158.460007,159.149994,157.619995,158.910004,139.086349,3173700
2011-04-06,159.889999,161.990005,158.850006,161.889999,141.694611,4198700
2011-04-07,161.990005,164.399994,161.570007,162.399994,142.140961,4589200
2011-04-08,163.490005,163.619995,160.820007,160.960007,140.880646,3280800
2011-04-11,160.539993,162.910004,160.539993,161.470001,141.327011,3126900
2011-04-12,160.25,161.440002,159.449997,160.419998,140.408005,3328100
2011-04-13,162.5,163.979996,159.830002,160.169998,140.189209,5145000
2011-04-14,157.509995,157.600006,155.25,155.789993,136.355545,7982300
2011-04-15,156.179993,156.949997,154.630005,155.130005,135.777939,5608300
2011-04-18,154.050003,154.880005,151.520004,153.779999,134.596298,5992900
2011-04-19,156.089996,156.100006,149.550003,151.860001,132.915833,13463800
2011-04-20,153.169998,154.149994,151.5,152.699997,133.651062,7181300
2011-04-21,153.089996,154.330002,152.699997,153.509995,134.360001,3977500
2011-04-25,152.580002,152.589996,151.179993,152.190002,133.204666,3711600
2011-04-26,151.889999,153.949997,151.779999,153.270004,134.149948,4400000
2011-04-27,153.600006,153.850006,152,152.860001,133.791107,4207000
2011-04-28,152.550003,152.600006,150.199997,150.600006,131.813004,5906700
2011-04-29,150.279999,151.869995,149.639999,151.009995,132.171844,6075500
2011-05-02,152.199997,153.070007,151.070007,151.300003,132.42569,4362700
2011-05-03,150.970001,152.800003,150.679993,151.869995,132.924606,3557400
2011-05-04,152.25,152.460007,150.949997,151.520004,132.618256,3768000
2011-05-05,150.869995,151.220001,149.949997,150.410004,131.646713,4100200
2011-05-06,151.470001,151.970001,149.529999,150.100006,131.375412,5429300
2011-05-09,149.699997,149.869995,148.800003,149.119995,130.517578,3152400
2011-05-10,149.020004,150.740005,148.520004,150.399994,131.637955,4033800
2011-05-11,150,150,147.649994,147.880005,129.432312,5310500
2011-05-12,145.990005,146.779999,140.660004,142.75,124.942276,20659200
2011-05-13,142.389999,142.520004,139.25,141.460007,123.813232,14256700
2011-05-16,140.889999,143.389999,140.259995,140.600006,123.060471,6458800
2011-05-17,140.259995,141.949997,139.080002,140.809998,123.244263,7071400
2011-05-18,140.929993,141.820007,140.210007,140.839996,123.270508,4768900
2011-05-19,141.229996,141.300003,138.429993,139.339996,121.957619,7331500
2011-05-20,138.179993,139.639999,134.789993,134.990005,118.150345,11284500
2011-05-23,133.639999,137.190002,133.639999,135.839996,118.894279,8406500
2011-05-24,136.270004,136.759995,135.029999,136.339996,119.331902,6605300
2011-05-25,135.669998,137.589996,135.509995,136.240005,119.244392,6528800
2011-05-26,136.199997,136.699997,135.339996,136.259995,119.261864,5332300
2011-05-27,136.25,138.960007,136.229996,138.660004,121.675026,5275700
2011-05-31,140.820007,142.300003,139.880005,140.729996,123.491478,7023200
2011-06-01,139.949997,140,136.100006,136.169998,119.490051,6768100
2011-06-02,136.649994,136.729996,131.5,134.380005,117.919289,12423400
2011-06-03,132.979996,137.169998,132.889999,135.330002,118.752907,5457600
2011-06-06,134.75,135.220001,133.139999,133.899994,117.498093,5287800
2011-06-07,134.380005,135.759995,132.990005,132.990005,116.699577,6191500
2011-06-08,132.630005,134.889999,131.5,131.589996,115.471069,6795100
2011-06-09,131.990005,135.100006,131.830002,133.529999,117.173416,4498100
2011-06-10,133.210007,137.25,132.520004,135.919998,119.270645,7556800
2011-06-13,136.130005,137.970001,135.919998,137.529999,120.683441,5272900
2011-06-14,138.199997,138.949997,136.539993,137.100006,120.306122,5849900
2011-06-15,136.070007,137.589996,134.009995,134.850006,118.331734,5715200
2011-06-16,134.630005,136.889999,134.149994,136.089996,119.41983,5230700
2011-06-17,137.830002,138.789993,137.210007,137.229996,120.420197,6758300
2011-06-20,136.419998,136.729996,134.360001,135.139999,118.586227,4019900
2011-06-21,135.5,137.190002,134.300003,135.960007,119.30574,4213300
2011-06-22,135.589996,137.779999,134.429993,134.520004,118.042152,4224400
2011-06-23,133.100006,133.830002,131.639999,132.360001,116.146744,6706600
2011-06-24,132.809998,133.449997,130.820007,130.910004,114.87439,5774800
2011-06-27,130.75,131.860001,129.800003,130.710007,114.69886,5831800
2011-06-28,131.339996,131.339996,128.300003,129.259995,113.42646,8056000
2011-06-29,129.729996,133.229996,129.5,132.529999,116.295914,8170800
2011-06-30,133.050003,133.800003,131.5,133.089996,116.787315,4980900
2011-07-01,133.429993,136.720001,133.089996,136.649994,119.911209,5103500
2011-07-05,135.899994,136.050003,133,134.5,118.024628,4458300
2011-07-06,133.779999,134.440002,132.820007,133.889999,117.489311,3029100
2011-07-07,135.089996,136.199997,134.720001,135.009995,118.472137,3857500
2011-07-08,133.320007,134.399994,133.169998,134.080002,117.656059,4141600
2011-07-11,132.75,133.429993,131.070007,132.020004,115.848366,4722900
2011-07-12,131.419998,132.660004,130.100006,130.309998,114.347839,4330900
2011-07-13,130.740005,131.770004,129.699997,129.919998,114.005646,4410500
2011-07-14,131.699997,132.199997,129.75,129.889999,113.979301,5357200
2011-07-15,131.309998,131.509995,129.179993,130.160004,114.216255,5255100
2011-07-18,129.580002,130.160004,127.5,129.330002,113.487923,5836500
2011-07-19,125.730003,129.929993,125.5,128.490005,112.750809,15297700
2011-07-20,128,133.800003,127.580002,132.75,116.488953,8578300
2011-07-21,133.520004,135.979996,133.25,135.580002,118.972343,7671000
2011-07-22,135.029999,136.470001,134.440002,135.490005,118.893341,4925500
2011-07-25,134.169998,137.130005,133.5,136.850006,120.086792,5856700
2011-07-26,136.610001,139.25,136.020004,137.600006,120.744881,5464700
2011-07-27,136.789993,137.25,134.440002,134.720001,118.217644,5250000
2011-07-28,134.970001,138.130005,134.649994,135.839996,119.200516,4429700
2011-07-29,134.100006,136.600006,133.130005,134.970001,118.437042,5340300
2011-08-01,136.919998,137.339996,133.75,134.149994,117.717468,5880700
2011-08-02,132.080002,134.759995,131.179993,131.229996,115.155151,7594500
2011-08-03,131.350006,133.270004,130.710007,132.080002,115.901039,6499400
2011-08-04,130.839996,131.889999,126.209999,126.230003,110.767632,8193300
2011-08-05,127.75,129.229996,122.349998,125.18,109.846237,11167300
2011-08-08,122.080002,125.440002,112.110001,117.660004,103.247398,17378000
2011-08-09,120.510002,123.150002,111.599998,122.730003,107.696373,15913400
2011-08-10,119.580002,119.669998,110.040001,110.339996,96.824066,18592000
2011-08-11,112.940002,119.75,112.25,118.099998,103.633499,11842200
2011-08-12,119.82,120.879997,115.290001,116.470001,102.203178,9607900
2011-08-15,117.57,119.699997,116,119.129997,104.537338,7257200
2011-08-16,117.599998,119.779999,115.5,116.870003,102.554169,7413100
2011-08-17,117.360001,118.75,116.550003,117.25,102.887627,4828600
2011-08-18,112.150002,114.5,112.040001,113.139999,99.281059,9284600
2011-08-19,111.870003,115.300003,111.110001,111.760002,98.070137,6829000
2011-08-22,114.169998,114.489998,105.099998,106.510002,93.463219,11286600
2011-08-23,106.019997,108.800003,103.160004,106.860001,93.770325,24482500
2011-08-24,106.900002,110.739998,106.389999,110.309998,96.797707,10169800
2011-08-25,114.510002,118.099998,108.110001,109.839996,96.385307,11939500
2011-08-26,108.629997,112.580002,107.720001,111.75,98.061333,7355700
2011-08-29,113.650002,116.540001,112.330002,116.07,101.85218,5177900
2011-08-30,115.330002,116,113.25,115.18,101.376869,5298800
2011-08-31,115.400002,117.800003,114.669998,116.220001,102.292221,6488100
2011-09-01,115.550003,115.550003,111.599998,112.160004,98.718788,9855500
2011-09-02,108.580002,109.239998,105.800003,107.059998,94.229965,8380900
2011-09-06,103.669998,105.599998,103.43,104.559998,92.029564,7749300
2011-09-07,106,108.790001,105,108.339996,95.35656,6526400
2011-09-08,107.129997,108,104.739998,104.790001,92.232018,6508800
2011-09-09,104.379997,105.82,102.220001,102.25,89.996407,8613700
2011-09-12,100.790001,103,99.779999,102.919998,90.586113,8769600
2011-09-13,103.410004,105.18,101.5,104.089996,91.615891,7119200
2011-09-14,104.910004,105.879997,103.529999,104.540001,92.011978,6602200
2011-09-15,105.169998,108.190002,105.099998,107.970001,95.030922,6354500
2011-09-16,109.07,109.660004,105.910004,107.489998,94.608459,7999300
2011-09-19,105.32,105.599998,103.25,104.809998,92.249596,5821600
2011-09-20,105,105.269997,102.529999,102.610001,90.313255,4978100
2011-09-21,102.809998,102.830002,97.720001,97.860001,86.132484,8586100
2011-09-22,95.959999,96.029999,91.400002,93.980003,82.717491,12381300
2011-09-23,92.839996,96.519997,92.800003,95.18,83.773651,17489100
2011-09-26,96.190002,99.730003,95,99.139999,87.259079,7038600
2011-09-27,101.199997,104.080002,98.779999,99.550003,87.61998,8583800
2011-09-28,99.980003,100.809998,96.209999,96.32,84.777061,5676800
2011-09-29,98.650002,99.980003,97.199997,99.870003,87.901604,5949200
2011-09-30,98.279999,98.400002,94.459999,94.550003,83.219154,5780200
2011-10-03,93.739998,95.720001,89.879997,90.080002,79.284866,7745200
